,R Squared,Negative Mean Squared Error,Negative Mean Absolute Error,Max Error
Linear Regression + Nothing,0.3222631742127188,-0.8568479178651879,-0.6445915263964267,-4.011627278637475
Ridge Regression + Nothing,0.32226320910395784,-0.8568478706086587,-0.6445935434133214,-4.011614830518008
Lasso Regression + Nothing,0.3001431789650653,-0.8847168447052194,-0.6624668058418699,-3.81524217600883
LARS Lasso Regression + Nothing,0.3001432361232511,-0.8847167701087703,-0.6624671500298241,-3.815243714725935
Bayesian Ridge Regression + Nothing,0.3222263964836492,-0.8568928741849648,-0.6459417000524323,-4.006055026996507
Stochastic Gradient Descent Regression + Nothing,0.31616894440675936,-0.6826165873413425,-0.5720981540222705,-3.4907829317571077
Linear Regression + Lexical,0.3772959623773605,-0.7936391065259636,-0.6135074982382375,-3.6811121713037354
Ridge Regression + Lexical,0.3772987438880445,-0.7936348033420101,-0.6134370146153645,-3.680538601454721
Lasso Regression + Lexical,0.340042809738766,-0.8412797946567693,-0.6468464159444359,-3.851574834850883
LARS Lasso Regression + Lexical,0.340042835523964,-0.8412797661407261,-0.6468460359254514,-3.8515699102542937
Bayesian Ridge Regression + Lexical,0.37698917510644997,-0.7940017392022544,-0.6142603955021839,-3.6664222436237615
Stochastic Gradient Descent Regression + Lexical,0.37299160626176453,-0.6251973085470472,-0.5397914589592465,-3.3640777781593143
Linear Regression + Scores,0.3522535924780487,-0.8257591806618262,-0.6393943110860333,-3.36230388232408
Ridge Regression + Scores,0.34338373362364605,-0.836716272726545,-0.6476234976089945,-3.6077043338564865
Lasso Regression + Scores,0.30272009021667234,-0.8888346329070744,-0.6607409008361322,-4.02483882398494
LARS Lasso Regression + Scores,0.30272018388895655,-0.8888345070348702,-0.6607411071528709,-4.024845208522612
Bayesian Ridge Regression + Scores,0.34473661679528567,-0.8350948260080582,-0.6415821974155412,-3.6715205914439517
Stochastic Gradient Descent Regression + Scores,0.33553724475886293,-0.6622887505226068,-0.5699838715345736,-3.2808341576295703
Linear Regression + Reading,0.410298477265274,-0.7515584951976242,-0.611112734589144,-3.088944715183684
Ridge Regression + Reading,0.41029901605191554,-0.7515577701105155,-0.6111117439316067,-3.088948293061539
Lasso Regression + Reading,0.31794888363978163,-0.8693388487124333,-0.6507474552359112,-3.8646566134805256
LARS Lasso Regression + Reading,0.3179488534640088,-0.8693388871680412,-0.6507474762163412,-3.864671313582734
Bayesian Ridge Regression + Reading,0.41034056517263684,-0.7514904557412767,-0.6099462306180415,-3.090502999538522
Stochastic Gradient Descent Regression + Reading,0.4085801830814015,-0.5895797895315116,-0.5433998480632802,-2.684784399008476
Linear Regression + NLP,0.32914145701706576,-0.8480973153399761,-0.6422758150116328,-3.9164332656992586
Ridge Regression + NLP,0.3291415072971889,-0.8480972519239487,-0.6422790311954425,-3.916430854623573
Lasso Regression + NLP,0.3001431789650653,-0.8847168447052194,-0.6624668058418699,-3.81524217600883
LARS Lasso Regression + NLP,0.3001432361232511,-0.8847167701087703,-0.6624671500298241,-3.815243714725935
Bayesian Ridge Regression + NLP,0.32910310995721287,-0.8481457994134918,-0.6417832350962213,-3.9159442560878857
Stochastic Gradient Descent Regression + NLP,0.31994648680625676,-0.6787376375390703,-0.5796445327941423,-3.389481015992023
Linear Regression + All,0.4314402584662145,-0.71872340632375,-0.5941657398632318,-3.009481722434026
Ridge Regression + All,0.4294768927976601,-0.7213073050905978,-0.5950573528470546,-3.084602815389039
Lasso Regression + All,0.35153723690009175,-0.8197842029551238,-0.6289407177144156,-3.6017111192390807
LARS Lasso Regression + All,0.35153777416225074,-0.8197835037186618,-0.6289398737465313,-3.601724992040404
Bayesian Ridge Regression + All,0.4289315852984868,-0.7220479190524836,-0.5926935792190543,-3.1346929233382
Stochastic Gradient Descent Regression + All,0.425162979768771,-0.5738926141224454,-0.5273639779481674,-2.7859738822618008
